"genre","budget","box_office","roi"
"Adventure","34872500","99710766","186"
"Animation","30026762","97811195","226"
"Action","24444537","60562933","148"
"Family","24067814","68480381","185"
"Fantasy","22668292","60351874","166"
"Science Fiction","21009501","55629096","165"
"War","14511891","27808328","92"
"History","13794530","21568347","56"
"Crime","12462465","25105264","101"
"Thriller","11547608","24514370","112"
"Comedy","10324575","25973484","152"
"Mystery","10174374","21608123","112"
"Western","10128275","15544277","53"
"Romance","9947827","24585650","147"
"Drama","7267722","14759094","103"
"Music","6929761","16286729","135"
"Horror","3719803","8771855","136"
"Documentary","492816","687751","40"
