"movie_id","genre_id"
2,4
2,7
2,14
2,5
3,4
3,7
3,14
5,4
6,1
6,5
6,17
8,6
11,2
11,1
11,15
12,3
12,8
13,4
13,7
13,14
14,7
15,13
15,7
16,7
16,5
17,11
17,17
17,13
18,15
18,1
18,2
19,7
19,15
20,7
20,14
21,6
22,2
22,9
22,1
24,1
24,5
25,7
25,18
26,7
27,7
27,12
27,14
28,7
28,18
33,19
35,3
35,4
35,8
38,15
38,7
38,14
55,7
55,17
58,2
58,9
58,1
59,7
59,17
59,5
62,15
62,13
62,2
63,15
63,17
63,13
64,7
64,14
65,7
65,12
66,5
66,7
66,1
67,5
67,17
67,7
67,18
68,4
68,15
69,7
69,12
69,14
70,7
71,7
71,4
71,12
73,7
74,2
74,17
74,15
75,4
75,9
75,15
76,7
76,14
77,13
