"id","imdb_id","title","status","release_date","runtime","original_language","languages","budget","revenue"
2,"tt0094675","Ariel","Released","1988-10-21","73","fi",NULL,"0","0"
3,"tt0092149","Shadows in Paradise","Released","1986-10-17","74","fi",NULL,"0","0"
5,"tt0113101","Four Rooms","Released","1995-12-09","98","en",NULL,"4000000","4257354"
6,"tt0107286","Judgment Night","Released","1993-10-15","109","en",NULL,"21000000","12136938"
8,"tt0825671","Life in Loops (A Megacities RMX)","Released","2006-01-01","80","en",NULL,"42000","0"
11,"tt0076759","Star Wars","Released","1977-05-25","121","en",NULL,"11000000","775398007"
12,"tt0266543","Finding Nemo","Released","2003-05-30","100","en",NULL,"94000000","940335536"
13,"tt0109830","Forrest Gump","Released","1994-06-23","142","en",NULL,"55000000","677387716"
14,"tt0169547","American Beauty","Released","1999-09-15","122","en",NULL,"15000000","356296601"
15,"tt0033467","Citizen Kane","Released","1941-04-17","119","en",NULL,"839727","23218000"
16,"tt0168629","Dancer in the Dark","Released","2000-09-01","140","en",NULL,"12500000","40061153"
17,"tt0411267","The Dark","Released","2005-09-28","87","en",NULL,"0","6593579"
18,"tt0119116","The Fifth Element","Released","1997-05-02","126","fr",NULL,"90000000","263920180"
19,"tt0017136","Metropolis","Released","1927-02-06","153","de",NULL,"5300000","1350322"
20,"tt0314412","My Life Without Me","Released","2003-03-07","106","en",NULL,"2500000","12300000"
21,"tt0060371","The Endless Summer","Released","1966-06-15","91","en",NULL,"50000","0"
22,"tt0325980","Pirates of the Caribbean: The Curse of the Black Pearl","Released","2003-07-09","143","en",NULL,"140000000","655011224"
24,"tt0266697","Kill Bill: Vol. 1","Released","2003-10-10","111","en",NULL,"30000000","180906076"
25,"tt0418763","Jarhead","Released","2005-11-04","123","en",NULL,"72000000","97076152"
26,"tt0352994","Walk on Water","Released","2004-02-05","103","he",NULL,"1400000","444"
27,"tt0411705","9 Songs","Released","2004-07-16","69","en",NULL,"1000000","1574623"
28,"tt0078788","Apocalypse Now","Released","1979-05-19","147","en",NULL,"31500000","150000000"
33,"tt0105695","Unforgiven","Released","1992-08-07","130","en",NULL,"14400000","159157447"
35,"tt0462538","The Simpsons Movie","Released","2007-07-25","87","en",NULL,"75000000","527068851"
38,"tt0338013","Eternal Sunshine of the Spotless Mind","Released","2004-03-19","108","en",NULL,"20000000","72258126"
55,"tt0245712","Amores Perros","Released","2000-06-16","154","es",NULL,"2000000","20908467"
58,"tt0383574","Pirates of the Caribbean: Dead Man's Chest","Released","2006-07-06","151","en",NULL,"200000000","1066179747"
59,"tt0399146","A History of Violence","Released","2005-09-23","96","en",NULL,"32000000","61477797"
62,"tt0062622","2001: A Space Odyssey","Released","1968-04-02","149","en",NULL,"12000000","71923560"
63,"tt0114746","Twelve Monkeys","Released","1995-12-29","129","en",NULL,"29000000","168841459"
64,"tt0287467","Talk to Her","Released","2002-03-15","112","es",NULL,"0","64803131"
65,"tt0298203","8 Mile","Released","2002-11-08","111","en",NULL,"41000000","242875078"
66,"tt0118548","Absolute Power","Released","1997-02-14","121","en",NULL,"50000000","50100000"
67,"tt0445620","Paradise Now","Released","2005-09-07","90","en",NULL,"2000000","3395627"
68,"tt0088846","Brazil","Released","1985-02-20","143","en",NULL,"15000000","9900000"
69,"tt0358273","Walk the Line","Released","2005-09-13","136","en",NULL,"28000000","186800000"
70,"tt0405159","Million Dollar Baby","Released","2004-12-05","132","en",NULL,"30000000","216763646"
71,"tt0249462","Billy Elliot","Released","2000-09-28","110","en",NULL,"5000000","109280263"
73,"tt0120586","American History X","Released","1998-07-01","119","en",NULL,"20000000","23900000"
74,"tt0407304","War of the Worlds","Released","2005-06-28","117","en",NULL,"132000000","603873119"
75,"tt0116996","Mars Attacks!","Released","1996-12-13","106","en",NULL,"70000000","101371017"
76,"tt0112471","Before Sunrise","Released","1995-01-27","101","en",NULL,"2500000","5987386"
77,"tt0209144","Memento","Released","2000-10-11","113","en",NULL,"9000000","40047236"
78,"tt0083658","Blade Runner","Released","1982-06-25","118","en",NULL,"28000000","41722424"
79,"tt0299977","Hero","Released","2002-07-22","99","zh",NULL,"31000000","177394432"
80,"tt0381681","Before Sunset","Released","2004-06-16","80","en",NULL,"2700000","15992615"
81,"tt0087544","Nausicaä of the Valley of the Wind","Released","1984-03-11","117","ja",NULL,"1000000","9016411"
82,"tt0430357","Miami Vice","Released","2006-07-27","132","en",NULL,"135000000","163800000"
83,"tt0374102","Open Water","Released","2003-10-26","79","en",NULL,"120000","54683487"
85,"tt0082971","Raiders of the Lost Ark","Released","1981-06-12","115","en",NULL,"18000000","389925971"
86,"tt0430051","The Elementary Particles","Released","2006-02-10","105","de",NULL,"6000000","0"
87,"tt0087469","Indiana Jones and the Temple of Doom","Released","1984-05-23","118","en",NULL,"28000000","333000000"
88,"tt0092890","Dirty Dancing","Released","1987-08-21","100","en",NULL,"6000000","214577242"
89,"tt0097576","Indiana Jones and the Last Crusade","Released","1989-05-24","127","en",NULL,"48000000","474171806"
90,"tt0086960","Beverly Hills Cop","Released","1984-12-05","105","en",NULL,"14000000","316360478"
91,"tt0023037","Land Without Bread","Released","1933-12-01","29","es",NULL,"0","0"
92,"tt0169024","Megacities","Released","1998-08-12","94","en",NULL,"0","0"
93,"tt0052561","Anatomy of a Murder","Released","1959-07-01","161","en",NULL,"2000000","8000000"
95,"tt0120591","Armageddon","Released","1998-07-01","151","en",NULL,"140000000","553799566"
96,"tt0092644","Beverly Hills Cop II","Released","1987-05-18","103","en",NULL,"28000000","299965036"
97,"tt0084827","Tron","Released","1982-07-09","95","en",NULL,"17000000","33000000"
98,"tt0172495","Gladiator","Released","2000-05-04","155","en",NULL,"103000000","465516248"
99,"tt0185125","All About My Mother","Released","1999-04-16","101","es",NULL,"8272296","67956089"
100,"tt0120735","Lock, Stock and Two Smoking Barrels","Released","1998-08-28","105","en",NULL,"1350000","28356188"
101,"tt0110413","Léon: The Professional","Released","1994-09-14","111","fr",NULL,"16000000","45284974"
102,"tt0315543","Open Hearts","Released","2002-09-06","113","da",NULL,"0","0"
103,"tt0075314","Taxi Driver","Released","1976-02-09","114","en",NULL,"1900000","28579636"
104,"tt0130827","Run Lola Run","Released","1998-08-20","81","de",NULL,"1530000","7660911"
105,"tt0088763","Back to the Future","Released","1985-07-03","116","en",NULL,"19000000","381109762"
106,"tt0093773","Predator","Released","1987-06-12","107","en",NULL,"15000000","98267558"
107,"tt0208092","Snatch","Released","2000-09-01","103","en",NULL,"10000000","83557872"
108,"tt0108394","Three Colors: Blue","Released","1993-09-08","98","fr",NULL,"0","1527572"
109,"tt0111507","Three Colors: White","Released","1994-01-26","92","fr",NULL,"0","1273525"
110,"tt0111495","Three Colors: Red","Released","1994-05-12","100","fr",NULL,"0","4127033"
111,"tt0086250","Scarface","Released","1983-12-09","170","en",NULL,"25000000","66023329"
112,"tt0243862","Italian for Beginners","Released","2000-12-07","118","da",NULL,"1000000","16350876"
113,"tt0374546","Spring, Summer, Fall, Winter... and Spring","Released","2003-09-19","103","ko",NULL,"0","8945072"
114,"tt0100405","Pretty Woman","Released","1990-03-23","120","en",NULL,"14000000","463406268"
115,"tt0118715","The Big Lebowski","Released","1998-03-06","117","en",NULL,"15000000","47010480"
116,"tt0416320","Match Point","Released","2005-10-26","124","en",NULL,"15000000","85306374"
117,"tt0094226","The Untouchables","Released","1987-06-03","119","en",NULL,"25000000","76270454"
118,"tt0367594","Charlie and the Chocolate Factory","Released","2005-07-13","115","en",NULL,"150000000","475000000"
120,"tt0120737","The Lord of the Rings: The Fellowship of the Ring","Released","2001-12-18","179","en",NULL,"93000000","871368364"
121,"tt0167261","The Lord of the Rings: The Two Towers","Released","2002-12-18","179","en",NULL,"79000000","926287400"
122,"tt0167260","The Lord of the Rings: The Return of the King","Released","2003-12-17","201","en",NULL,"94000000","1118888979"
123,"tt0077869","The Lord of the Rings","Released","1978-11-15","132","en",NULL,"4000000","30500000"
124,"tt0086961","No End","Released","1985-06-17","108","pl",NULL,"0","0"
125,"tt0080668","Railway Station","Released","1980-01-01","13","pl",NULL,"0","0"
126,"tt0082631","Short Working Day","Released","1995-11-02","73","pl",NULL,"0","0"
127,"tt0084549","Blind Chance","Released","1987-01-10","117","pl",NULL,"0","0"
128,"tt0119698","Princess Mononoke","Released","1997-07-12","134","ja",NULL,"23500000","176506186"
129,"tt0245429","Spirited Away","Released","2001-07-20","125","ja",NULL,"19000000","274925095"
132,"tt0065780","Gimme Shelter","Released","1970-12-13","92","en",NULL,"0","252570"
133,"tt0054205","Primary","Released","1960-11-08","53","en",NULL,"0","0"
134,"tt0190590","O Brother, Where Art Thou?","Released","2000-08-30","107","en",NULL,"26000000","71900000"
135,"tt0061589","Dont Look Back","Released","1967-05-17","96","en",NULL,"0","0"
136,"tt0022913","Freaks","Released","1932-01-01","66","en",NULL,"310607","0"
137,"tt0107048","Groundhog Day","Released","1993-02-11","101","en",NULL,"14600000","71108778"
138,"tt0021814","Dracula","Released","1931-02-12","74","en",NULL,"355000","700000"
139,"tt0164756","Mifune","Released","1999-03-12","98","da",NULL,"0","0"
