"year_of_release","movie_count"
"2027","3"
"2026","67"
"2025","10933"
"2024","26930"
"2023","24874"
"2022","21152"
"2021","18915"
"2020","17086"
"2019","18789"
"2018","16965"
"2017","15868"
"2016","14199"
"2015","13379"
"2014","12544"
"2013","11649"
"2012","10584"
"2011","9592"
"2010","8910"
"2009","8794"
"2008","8308"
"2007","7827"
"2006","7450"
"2005","6721"
"2004","6103"
"2003","5674"
"2002","5367"
"2001","5009"
"2000","4656"
"1999","4626"
"1998","4313"
"1997","4277"
"1996","4008"
"1995","3986"
"1994","3912"
"1993","3862"
"1992","3860"
"1991","3941"
"1990","3977"
"1989","4174"
"1988","4092"
"1987","4036"
"1986","3833"
"1985","3643"
"1984","3581"
"1983","3546"
"1982","3523"
"1981","3396"
"1980","3411"
"1979","3444"
"1978","3341"
"1977","3115"
"1976","3172"
"1975","3254"
"1974","3327"
"1973","3288"
"1972","3315"
"1971","3154"
"1970","3131"
"1969","3084"
"1968","3002"
"1967","2843"
"1966","2657"
"1965","2526"
"1964","2471"
"1963","2220"
"1962","2195"
"1961","2248"
"1960","2150"
"1959","2045"
"1958","2047"
"1957","2001"
"1956","1837"
"1955","1781"
"1954","1696"
"1953","1701"
"1952","1587"
"1951","1603"
"1950","1528"
"1949","1418"
"1948","1234"
"1947","1138"
"1946","1056"
"1945","991"
"1944","984"
"1943","1164"
"1942","1255"
"1941","1241"
"1940","1322"
"1939","1405"
"1938","1417"
"1937","1489"
"1936","1407"
"1935","1400"
"1934","1272"
"1933","1244"
"1932","1245"
"1931","1159"
"1930","1149"
"1929","1090"
"1928","1068"
"1927","1045"
"1926","997"
"1925","892"
"1924","825"
"1923","748"
"1922","782"
"1921","795"
"1920","861"
"1919","857"
"1918","824"
"1917","953"
"1916","1037"
"1915","990"
"1914","838"
"1913","716"
"1912","538"
"1911","299"
"1910","214"
"1909","165"
"1908","124"
"1907","49"
"1906","78"
"1905","75"
"1904","68"
"1903","95"
"1902","40"
"1901","80"
"1900","115"
"1899","112"
"1898","134"
"1897","322"
"1896","338"
"1895","36"
"1894","20"
"1893","2"
"1892","3"
"1891","13"
"1890","6"
"1889","2"
"1888","5"
"1887","3"
"1883","1"
"1882","1"
"1878","1"
"1874","1"
